review,rating,label
rekomendet sangat,5,positif
ok,5,positif
👍🏽,5,positif
oke,5,positif
"waktu perjalanan kebanyakan berhenti jadi sampenya telat,",3,netral
😭🐢🐢🐢🐢😭,4,positif
banyakin promo yaa,5,positif
"sngt manfaat karena lebih ekonomis untuk biaya perjalanan, kereta nya bersih dan nyaman",5,positif
baik,5,positif
mantap,5,positif
sangat membantu banget. jadi mempermudah dalam pembelian tiket. tapi kenapa sering beberapa kali tidak bisa di akses?,4,positif
bagus,5,positif
"aneh banget nih aplikasi, kemarin bisa dibuka sekarang pembaharuan malah enggak bisa dibuka, bukannya makin Bagus malah makin jelek aja, padahal saya butuh banget Tiket KA dlm waktu dekat, tolong diganti Karyawan bagian IT, lulusan mana sih itu",1,negatif
mantab,5,positif
Mantap 👍,5,positif
tidak bisa pakek apk aneh,1,negatif
gercep,5,positif
ok,5,positif
tidak bisa memesan tiket.. kocak,1,negatif
"Aku sudah bayar pembelian tiket melalui qris, waktu masuk lagi ke aplikasi kai access malah dianggap belom bayar, dan masih ada di kolom menunggu, padahal sudah jelas di akun bca ku udah terbayar lunas sesuai harga tiket,dan sekarang uang aku udah hangus karena tiketnya belom muncul sampe sekarang, TOLONG SOLUSINYA!",5,positif
apk taik gak bisa lihat keberangkatan di sekitar padang,1,negatif
the best,5,positif
ok,5,positif
bagus,5,positif
👍👍,5,positif
pelayanan sangat cepat dan baik,5,positif
potongan admin untuk top up nya terlalu gede,5,positif
"overall bagusan app yg sebelum update, yg setelah update banyak kendala.. tiket 30 menit sebelum jadwal keberangkatan suka gak ada, plus mau liat kereta yg udah soldout tiketnya juga kadang error (kaga bisa dilihat😌)",1,negatif
tooop,5,positif
kok ngga kompatibel padahal android 12,1,negatif
aplikasi tidak bisa buat pembatalan disaat genting.,3,netral
baik,4,positif
Banyak bgt bugnya min... Tolong diperbaiki lagi verifikasi OTP loading terus,1,negatif
👍👍👍,5,positif
nyaman dan cepat,5,positif
aneh sekali.padahal belum pernah masuk apk ini begitu coba mendaftar jadi member malah ngak bisa karena id ada yang pakai ....kok bisa ya id ada yang pakai padahal belum sama sekali masuk apk ini,1,negatif
bagus keren pertahankan,5,positif
"keren,sangat mudah",5,positif
ok,5,positif
aku nggak bisa dowload apk ini gimna donggg,5,positif
bagus,5,positif
"ini gimana gw udh mau dftr ke basic udh isi data trs krim kode otp ke email mlh gagal terus kocakk ,eror apa ada buggg pdhl udh coba apus aplikasi nya lgi trs coba lgi sama aja",1,negatif
kebanyakan update aplikasi,3,netral
"sebener bagus, dan harga jg bagus, namun apk nya tdk bagus sering lag dan hilang koneksi, sekelas KAI aplikasi nya kalah sama game online yg jarang sekali lag,",2,negatif
"kenapa proses pembatalan tiket tidak tersedia dimenu tiket saya, setelah up date.",3,netral
"tolong dong pihak KAI, Untuk tiket lebaran di buka transparan via aplikasi KAI ACCES, jangan main lempar ke pihak agen travel, masa di aplikasi kai belum di buka tapi di pihak agen travel udah bisa di beli, semoga pihak kai menindak para tim kai yang nakal 👎👎👎👎",1,negatif
keren,5,positif
top,5,positif
cepat n mudah,5,positif
memudahkan,5,positif
pelayanan ramah,5,positif
"saya pengguna kai by access sudah bertahun-tahun, kenapa ketika ada update harus update dulu baru bisa dibuka tetapi setelah sudah update ketika buka apk selalu nutup sendiri, saya ulang2 buka lagi selalu nutup sendiri, sudah saya uninstal dan download ulang tapi tetap saja ketika dibuka selalu langsung menutup sendiri, terus kita sebagai pengguna harus bagaimana?saran saya LEBIH BAIK TIDAK USAH ADA UPDATE DARIPADA MALAH MENYUSAHKAN PENGGUNA terus mau minta rating berapa untuk kasus seperti ini?",1,negatif
sagat membantu,1,negatif
bagus,4,positif
bagus bgt,5,positif
bagus,5,positif
mau update kok ga bisa yaaaa ??,1,negatif
"potongan pembatalan terlalu mahal,masa sampe 25% gilaaa2",2,negatif
sangat bermanfaat dan simpel,5,positif
"sesi terlalu cepat,, pesanan belum selesai sesi sudah habis",3,netral
bagus,5,positif
mempermudah pesen tiket KAI,5,positif
mantap,5,positif
sangat bagus,5,positif
mantap,5,positif
aplikasi yg sangat membantu kemudahan membeli tiket. mudah cepat dan praktis,5,positif
"tolong dong di perbaiki lagi sistem nya,masa top up kartu di kai acess,saldo udh ke potong,tapi saldo GK ada masuk ke kartu nya,terpaksa nyampe stasiun ngisi lagi",1,negatif
murah meriah bisa ngajak tetangga 1RT,5,positif
aplikasi terlalu kemot,3,netral
baik,5,positif
sangat membutuhkan,4,positif
Applikasi yang sangat baik utk rencana perjalanan dgn kereta api. ❤️❤️,5,positif
"mohon di bantu pada waktu memasukan kode otp, member basic loading terus tidak sukses,🙏. trimakasih",2,negatif
otp nya susah sekali buat jadi member basic acsess😾👎,1,negatif
aplikasi ga jelas UI membingungkan,1,negatif
bagimana cr untuk aplikasi ini bisa berfungsi kembali krena mau donlod dlm hp gk bisa perqngkt hpnya,4,positif
sangat membantu...,5,positif
"aplikasinya belakangan ini sering error ya, masa udah beli tiket gabisa ceta e-boarding pass.. selain itu di aplikasi tiket tersedia, pas input gagal terus",1,negatif
👍,4,positif
aplikasi suka eror kalau lagi musim liburan dan tidak ada beli tiket di stasiun langsung kecuali untuk go show. semua lewat aplikasi tapi aplikasi susah untuk akses.,4,positif
harus ganti HP terbaru untuk mengunduh aplikasi ini,4,positif
Aplikasi setelah di update malah tidak dapat pilih kursi penumpang. Mohon segera diperbaiki.,5,positif
Good aplication service,5,positif
"Bagus aplikasi nya bisa telpon tanpa pulsa langsung, dan membantu saya dihubungkan dengan kondekturnya yang ramah dan bisa berbicara dengan anak saya.",5,positif
payah kali buat daftar nya. asik ngulang ngulang aja. macam ngutang awak mau naek kreta api,1,negatif
buset jelek banget pelayanan nya isi saldo ke potong iya ke kmt ga masuk dontol dontol. chat cs nunggu nya harus se abad,1,negatif
"sumpahhh aplikasi ini bikin gampang buat pesen tiket, ga kayak dulu yang harus antre di stasiun buat beli tiket, sekarang bisa lewat rumah, pokoknya buat mudahh, kalian harus download sihh",5,positif
good,5,positif
good,5,positif
semoga lebih baik lagi pelayanannya,5,positif
"perbaiki pelayanan pengaduan dan sistem pemesanan tiket yang makin lama sering eror, mesen tiket yang masih banyak kursi nya tapi sistem nyuruh nunggu dan gabisa bisa, perbaiki segera.",2,negatif
Aplikasi Ini Bagus Banget !,5,positif
oke sip 👍,5,positif
aplikasinya ga bisa dipakai di hp jadul. padahal bertahun2 pakai ini. kalau bisa diturunkan spec nya biar pemakaian lebih luas. kan bisa beli tiket murah juga.,5,positif
"aplikasi tidak bisa dibuka, kenapa ?",4,positif
bagus,5,positif
keren fitur rail point bisa baik kreta gratis,5,positif
Pembatalan nya Ribet mau batalin aja susah bener Lewat Offline juga ribet birokrasi nya sangat ribet,1,negatif
bagus,5,positif
"luar biasa.. tidak bertele"""".. langsung",5,positif
apk ga ga jelas masa kode otp udah ada tapi mau di kirm ga bisa masuk loding padahal sinyal bagus apk ga jelass tolong perbaiki,1,negatif
"bagus keretanya nyaman generasi terbaru. 😍🥰😘 salah satu pilihanku selalu kereta jaka Tingkir. aman, nyaman, buat bepergian sendiri atau bareng kelurahan.",5,positif
"Susah upgrade ke member basic, chat respon whatsapp lama",1,negatif
beli tiket lewat access by KAI lebih mudah,5,positif
mantaf,5,positif
Kenapa gak bisa melakukan transaksi pembayaran menggunakan qris,5,positif
"kenapa sekarang 3 Jan 2026 ngga bisa dibuka padahal hari kemarin 2 Jan 2026 masih bisa buat pesan tiket, data yg masuk ke email hanya kereta antar kota, sedangkan sy pesan juga yg kereta lokal, tp ngga masuk ke email, bagaimana sy bisa mengaksesnya lagi....😥",2,negatif
apk buruk sekali eror eror eror terus,1,negatif
baguss,5,positif
bagus banget,5,positif
bagis,5,positif
"tolong ini knp aktivasi kai pay nya lama bangett loading nya, udah di coba 2 kali sampai di uinstall trus ganti jaringan tpi tetap aja loading lama banget, tolong ini kenapa yak",1,negatif
ok,5,positif
bagus,5,positif
"saran saja, untuk kedepannya tolong adakan fitur download tiket. pengalaman sudah mau tunjukan tiket tapi tampilan aplikasi malah putih, dan juga nggak semua orang punya jaringan internet yang bagus",3,netral
"aplikasi KAI Acces tidak bisa di update di hape Samsung Galaxi A02s, kenapa bisa gitu?",1,negatif
bagus,5,positif
refund aja Ribet,1,negatif
TOLONG DONG ITU FITUR REFUND TIKET BISA LEWAT E WALLET LAGI. MALAH DI HAPUS KOCAK. GAJELAS KAI MALAH DI ILANGIN!!,1,negatif
kenapa update terbaru tidak bisa diperangkat sm a02s,4,positif
keren dn mudah,5,positif
"aplikasi nya sangat berguna, dan memudahkan para pemakainya👍",5,positif
senang jalan jalan bawa keluarga naik kereta,5,positif
mempermudah,5,positif
Sangat mudah pesan tiket KAI,5,positif
bagus,5,positif
tidak jelas,1,negatif
good,5,positif
sangat menyenangkan,4,positif
"Jujur kenapa yah aplikasinya udah ga bisa di instal di android 5,6,7 lah kalo hp masih di bawah os 8 harus gimana coba pesan tiket nya kalo ga bisa instal apk nya yg terbaru",1,negatif
mantap,5,positif
a good 👍🏻,5,positif
good,5,positif
kenapa sh harus kode otp nya di akun google knpa ga di nmr hp aja sh biar enak ga bulak balik liat ini liat itu dulu bikin pusing aja,1,negatif
ok,5,positif
ini knp ga bisa di update,1,negatif
mantap,5,positif
Kenapa makin lama makin susah buap pemesanan padahal dulu mudah.jangan di persulit lah untuk pemesananya,5,positif
mau update..malah aplikasiny udh g kompatibel d hp..,1,negatif
oke mantab,5,positif
"cuma ada 1 minus. sehari cuma dibatesi 6 booking. kalo dibatesi 6 booking yg sukses & terbayar okelah masuk akal. booking cuma sebatas lihat kursi yg kosong aja udah dihitung 1x booking. kalo udah 6x lihat kursi kosong gabisa booking lagi. tidak semua yg pesan tiket itu langsung oke, bagi kaum mendang-mending itu banyak pertimbangannya, jadi sering coba2 booking buat dibandingin antara harga, jam, & posisi kursi yg didapat",1,negatif
sangat membantu dalam mencari tiket perjalanan,5,positif
acces kai memudahkan,5,positif
agak susah top up dari atm,4,positif
Akun Access by KAI aplikasi yang sangat efisien untuk mencari sarana Transportasi kereta api. sangat rekomendet untuk di jadikan sarana Transportasi favorit masyarakat Indonesia,5,positif
"Server jelek, nyari jadwal kereta udah kek nunggu bansos. lebih cepat akses jadwal tiket pake aplikasi ke-3.",3,netral
"Aplikasi yang sangat membantu untuk memesan tiket kereta api jarak jauh. Selain beli tiket, kita juga bisa pesan makanan saat di kereta dan diantarkan langsung ke kursi kita. Ada juga realtime tracking perjalanan, jadi kita tau kita sedang ada di stasiun mana. Selalu improve KAI 🔥",5,positif
bagus,5,positif
mantap KAI,5,positif
min tolong tambahin metode pembayaran melalui dana dong kami yg tidak mempunyai aplikasi ovo dan shopeepay agak sulit untuk membayar pesanan tiket,4,positif
mayan,5,positif
tidak banyak membantu,1,negatif
bener2 tup up admin nya sampe 2900 gila mahal amat,1,negatif
ok,5,positif
"pembayaran tidak beragam, kebanyakan update tapi tidak mau kerjasama dengan dompet digital lain",3,netral
nice,5,positif
Memudahkan untuk melihat jadwal pemberangkatan dan sisa kursi yg tersedia,5,positif
kenapa pilihan kolom untuk bayi tidak tersedia ya min? padahal kami ada bayi yg mau ikut juga 😌,3,netral
"Sebaiknya Sistem di perbaiki! KALO MISALKAN SUDAH PESAN TIKET TERUS penumpang TERLAMBAT SEHARUSNYA TIKET JANGAN HANGUS! TAPI ADA SISTEM PENGEMBALIAN DANA, KALO SEPERTI ITU SEPERTI SISTEM KERETA API INDONESIA BURUK! atau tidak Anda mengambil keuntungan dari yang terlambat(Oknum Korup)",1,negatif
"udah bagus sihh, tapi terlalu sering buat update aplikasinya :)",5,positif
sangat membantu untuk pesan tiket kereta,4,positif
oke,5,positif
tertolong aplikasi ini sangat membantu,5,positif
tolol error mulu,1,negatif
bagus,5,positif
kebiasaan bener abis upadate pasti data penumpang ilang. mana maksimal pesen 4. hamdeeeehh pake pc bisa pesen 5 tapi list penumpang gak muncul. ayolah min. sedih bener disuruh nanggung utang woosh jadi kusut gini,2,negatif
sangat membantu dan mudah,5,positif
"mantap, tapi harusnya untuk pembatalan tiket penumpang selain pemilik akun, harusnya bisa dibuat",5,positif
"aplikasinya hanya untuk hp terbaru, yang lama2 harap pakai gerobag aja ya gaess😇😇",2,negatif
mohon infonya aplikasi gak bisa di buka dan di dowload kembali aplikasi tidak di dukung di hp sya knp ya?,5,positif
sangat baik,5,positif
kenapa yah kalau setiap masukin kode otp Loding aja,1,negatif
"kebanyakan kadaluarsa kadaluarsa!!!! keluar sendiri, aplikasi nya bikin kesel",1,negatif
"apps ini notif di hp ku tdk kompatibel ,padahal hp ku android 12 yg dibutukan android 8 ke atas😵‍💫",3,netral
"aplikasi apaan lemot nya minta ampun, cetak eboarding gak kebuka muluu",1,negatif
"aplikasi nya lama² ga jelas, subuh² mau pesen tiket malah loading nya lama banget, ujung² nya malah ga kebagian tiket lagi. udah gtu uang yg di bayar karna gagal pemesanan tiket tpi uang sudah masuk, ga ada inisiatif refund otomatis, di cuekin aja sampe sekarang, lapor ke loket suruh nunggu nanti ada refund otomatis, di tunggu sampe sekarang, ga ada info pengembalian dana dari KAI Acces",1,negatif
eror kenapa yah,1,negatif
failed request data mulu,1,negatif
tidak bisa login akun,1,negatif
mau beli tiket ga bisa di acses,1,negatif
Aplikasi sedang pemeliharaan tapi di sistem stasiun gaada datanya masa? alhasil tiket hangus dan beli tiket lagi,1,negatif
"pagi ini sy akan brkt kerja naik kereta pagi. koq bisa aplikasi dilakukan maintenance pagi2 begini, akhirnya sy tdk bs buka aplikasi dan tdk bs scan tiket. pdhl semua hal dilakukan melalui aplikasi. sy yg sudh byar akhirnya rugi !!!!! sangat mengecewakan KAI kali ini",1,negatif
aplikasi di perbaharui malah ngebut ngga bisa liat tiket. di uninstall malah ngga bisa masuk akun kai access gimana ini?! bentar lagi mana mau berangkat,2,negatif
apk nya akses nya sudah cukup puas cuma yg jdi ribetnya klo mu msuk suka susah,3,netral
setelah diupdate ga bisa masuk akun,1,negatif
"Lama banget sih, topupnya. Udh 15 menit tidak masuk "" . Woy perbaiki ini kendala kenapa hari ini tiba tiba error aplikasinya woy",2,negatif
naik kreta sangat membantu perjalanan dan menyenangkan hidup KAI,5,positif
banyak bugnya,1,negatif
"aplikasi bikin gua ke tinggalan kereta, pihak stasiun juga tai, GK boleh masuk, ngebug doang aplikasi nya, bikin benci naik kereta lagi,",1,negatif
okehhh,5,positif
pelayanan ok keretanya bersih nyaman ada bagian penyimpanan dibelakang kursi yang hilang entah sudah rusak atau sengaja dirusak sama penumpang yang gak bertanggung jawab mohon diawasi sama cctv,5,positif
baik,3,netral
"padahal hp saya android 11, tapi keterangannya perangkat tidak kompatibel. sedangkan di deskripsi minimal android 8",3,netral
tolong di perbarui lagi ya kai,1,negatif
"aplikasi ga guna, mau aktifin akses bayar aja susah lol",1,negatif
mantep,4,positif
mantap,5,positif
lebih mudah,5,positif
"pas mau aktifin member basic gabisa krna email salah katanya padahal udah bener mana email nya kan otomatis dimasukin aplikasi gabisa di ubah atau di ketik sama kita. giliran chat cs malah disuruh nunggu, kita bersedia nunggu atau engga dibales iya malah terus kirim pesan otomatis sampe satu jam lebih",1,negatif
baik,5,positif
lumayan perlu ditingkatkan lagi,4,positif
sangat bagus dan mudah untuk memesan tiket dan melihat jadwal kereta,5,positif
hoiii lai kenapa seh susah banget boking tiket,4,positif
"Setelah minta update, Kok tiba-tiba aplikasinya jadi gak kompetibel sama hp saya? tolong perbaiki...",2,negatif
sangat terpercaya cepat dan baik dalam semua hal penanganan,5,positif
sangat mempermudah,5,positif
"Semoga di awal tahun 2026 ini, aplikasi lebih efektif. Akses yg lebih privasi/sidik jari dan kuota pembaruan yg ringan. (satu ⭐ menunggu)",4,positif
oke banget,5,positif
mantap sangat membantu dalam perjalan,5,positif
"Good, sangat membantu & bermanfaat",5,positif
membantu memudahkan,5,positif
sangat membantu tapi sering ada kendala,4,positif
mantap,5,positif
pelayanannya bagus,5,positif
mantap,5,positif
YANG BIKIN KESAL KERETA KE PARIAMAN-PADANG-PARIAMAN.. klw menurut saya klw tiket berdiri jangan d jual lah.. kadang orang2 gak tau..ahh,2,negatif
bagus,5,positif
ok,5,positif
lumayan lah...,4,positif
nyaman dan aman perjalanan saya dengan KAI kemanapun dimanapun terpercaya.,5,positif
"menyimpan saldo, malah jadi berkurang. top-up 10K sampai di apk jadi 8k. apk tidak bisa trf ke rek.bank atau ke ol. shop.",1,negatif
baik,5,positif
ok,5,positif
app suruh update terooozzz Gak ada perubahan sama sekali,2,negatif
puas dgn KAI..👍👍👍,5,positif
tertibkan lagi para penumpang KRL Palur - Yogyakarta.. saya bawa istri dan anak 2 masih kecil tidak mendapat tempat duduk dan yang muda2 dibiarkan dapat tempat duduk oleh security nya.. serta ada lansia berdiri dibiarkan saja tidak dicarikan tempat duduk oleh securitynya.. security ada tapi hanya melihat dan diam.. harusnya lebih tegas agar generasi2 yg muda yg masih kuat SADAR akan kepedulian dan membangun MORAL yg lebih baik..,1,negatif
"kecewa bgttt, mau daftar member basic tapi pas udah selesai tiba2 logout dan pas login lagi belum jadi kedaftar member basic, udh coba ngehubungin tapi ribet bgtt gada respon yg baik samsek",1,negatif
"Setelah diupdate malah gak bisa buat pesan tiket, mohon ditingkatkan yang lebih baik lagi. Terimakasih",1,negatif
a nice,5,positif
UPDATE UPDATE UPDATE TEROSSSS SMPE MAMPOS!!!,1,negatif
Aplikasi mudah digunakan... terimakasih KAI,5,positif
ini kenapa ya tiba tiba kga bsa update atau download ulang kai acces ya.. mohon ksih petunjuk..,2,negatif
semoga krl bisa sampe cikampek,5,positif
"Tolong di hapuskan tiket ""tanpa kursi"". Kalau sudah habis kursi ya sudah. tidak etis penumpang berdiri di dekat toilet dengan bayar harga tiket yg sama. Apalagi jika itu anak2 dan lansia. Hanya karena mau cari untung pihak KAI tidak mengkaji lebih dalam tentang kemanusiaan.",3,netral
"Tolong di perbaiki lagi, aplikasi pemerintah tapi login aja susah..",3,netral
bagusdd,5,positif
semakin mudah dan cepat,5,positif
Oke,5,positif
dengan aplikasi access KAI sangat terbantu skali,5,positif
"WAJIB DIPERBAIKI.! ketika membuka aplikasi diharuskan pakai sinyal seluler itu harus diubah bisa menggunakan sinyal WiFi, masa iya aplikasi pemerintah gak bisa dibuka pake jaringan wifi",2,negatif
bagus weh,5,positif
"lambat respont di ig gua udah chat, di wa juga nggak jelas balasnya, gue mau batalin tiket antar kota gue malah nggak bisa, tulisannya maaf proses pembatalan gagal dikarnakan tidak ada satu pun nama penumpang atas pemilik user, gue bingung deh padahal jelas² tiket nya ada masak iya harus pakai nama akunnya juga ngebatalin, kalau kita pesan tikat 2 gimana tu, fitur nya perbaiki lagi deh dan layanannya tonlong cepat respon, sekelas kai indonesia lo ko layananya lama bangettt.",3,netral
oke,5,positif
layanan konsumen u pembatalan tiket sangat responsip,5,positif
sangat bagus,4,positif
ok,5,positif
ok,4,positif
"bagus tapi udah tidak kompatibel lagi 😭😭😭, plis beri tau cara beli tiket kai lokal selain apk dimana",5,positif
"kenapa gak bisa di upgrade aplikasinya?? alasannya tdk kompatibel, padahal hp saya termasuk android yg terbaru. tolong diperbaiki lg karena susah kalau mau pesen tiket kehabisan terus kalau offline!!",1,negatif
"sangat membantu,",5,positif
tankyou KAI accces,5,positif
Aplikasi ini sangat bagus dan penting karena kita bisa memesan tiket kereta api dengan gampang dan mudah,5,positif
"mantap pokoknya , semoga kedepanya semakin inovatif",5,positif
"beli tiket bisa atas nama orang, batalin tiket ga bisa, blm rekeningnya jg harus atas nama orang tsb. gw beliin tiket buat ortu yg lg di luar kota jd harus kirim tiket dulu ke akun sana. untung ada kerabat yg ga gaptek bantuin. ribet bgt",1,negatif
